modelo,kilometraje,year,precio,color
Model 3,31.886 km,07/2019,"€ 25.490,-",Blanco
Model s,98.000 km,05/2015,"€ 25.990,-",Marrón
Model 3,16 km,09/2024,"€ 37.000,-",Blanco
Model s,38.091 km,03/2020,"€ 48.990,-",Blanco
Model y,15.000 km,06/2023,"€ 38.900,-",BLANCO
Model x,175.268 km,05/2018,"€ 28.995,-",Gris
Model x,320.000 km,03/2017,"€ 32.990,-",Rojo
Model x,20.074 km,06/2023,"€ 84.000,-",Blanco
Model 3,78.436 km,09/2020,"€ 27.990,-",Blanco
Model s,15.040 km,09/2023,"€ 87.400,-",Blanco
Model 3,60.000 km,02/2020,"€ 28.990,-",Rojo
Model 3,29.447 km,12/2022,"€ 42.300,-",Blanco
Model 3,57.522 km,08/2021,"€ 34.400,-",Rojo
Model s,350.000 km,12/2016,"€ 24.990,-",Negro
Model 3,71.000 km,09/2019,"€ 22.999,-",Blanco
Model 3,21.318 km,11/2020,"€ 29.700,-",Azul
Model s,120.000 km,01/2020,"€ 42.000,-",Blanco
Model s,385.000 km,01/2013,"€ 10.500,-",Negro
Model 3,39.000 km,12/2022,"€ 29.900,-",Otros
Model 3,63.000 km,03/2022,"€ 25.990,-",Azul
Model 3,17.500 km,11/2023,"€ 32.350,-",Metalizado
Model x,114.038 km,02/2017,"€ 34.990,-",Plateado
Model s,121.000 km,06/2017,"€ 21.500,-",Rojo
Model s,333.333 km,08/2015,"€ 17.000,-",Plateado
Model 3,143.000 km,09/2019,"€ 21.300,-",Azul
Model s,114.000 km,05/2019,"€ 39.900,-",Gris
Model 3,29.000 km,02/2023,"€ 31.990,-",Blanco
Model s,178.000 km,03/2018,"€ 28.099,-",Otros
Model 3,81.990 km,12/2019,"€ 24.000,-",Negro
Model 3,13.000 km,11/2023,"€ 35.000,-",Blanco
Model s,188.000 km,01/2019,"€ 22.500,-",Negro
Model 3,155.000 km,01/2020,"€ 23.950,-",Gris
Model s,379.000 km,11/2015,"€ 22.000,-",Negro
Model 3,421 km,01/2024,"€ 32.990,-",Blanco
Model s,382.100 km,04/2017,"€ 20.999,-",Marrón
Model 3,49.990 km,09/2020,"€ 23.490,-",Rojo
Model 3,25.200 km,11/2023,"€ 33.500,-",Otros
Model 3,31.886 km,07/2019,"€ 25.490,-",Blanco
Model y,38.000 km,01/2022,"€ 37.900,-",Negro
Model s,61.000 km,03/2018,"€ 30.995,-",Plateado
Model s,120.000 km,10/2019,"€ 32.900,-",Blanco
Model x,51.827 km,08/2019,"€ 41.800,-",Azul
Model 3,11.500 km,06/2019,"€ 26.500,-",Otros
Model 3,23.000 km,12/2023,"€ 34.500,-",Blanco
Model 3,62.113 km,02/2021,"€ 34.490,-",Negro
Model x,180.000 km,10/2016,"€ 34.995,-",Gris
Model 3,62.120 km,08/2023,"€ 29.560,-",Negro
Model x,79.000 km,01/2019,"€ 34.900,-",Negro
Model 3,75.000 km,09/2019,"€ 22.900,-",Negro
Model 3,62.000 km,02/2021,"€ 25.990,-",Blanco
Model s,134.000 km,12/2018,"€ 26.900,-",Gris
Model s,60.000 km,09/2016,"€ 26.995,-",Marrón
Model 3,52.000 km,03/2022,"€ 30.500,-",Otros
Model x,240.000 km,11/2017,"€ 31.990,-",Azul
Model s,109.000 km,07/2017,"€ 25.475,-",Negro
Model s,77.000 km,01/2023,"€ 76.900,-",Blanco
Model y,47.000 km,06/2022,"€ 37.990,-",Negro
Model x,10.000 km,01/2023,"€ 76.900,-",Negro
Model 3,31.886 km,07/2019,"€ 25.490,-",Blanco
Model 3,31.886 km,07/2019,"€ 25.490,-",Blanco
Model 3,52.000 km,05/2021,"€ 28.900,-",Blanco
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model x,35.000 km,01/2020,"€ 45.999,-",Azul
Model s,59.999 km,01/2020,"€ 50.950,-",Negro
Model 3,128.084 km,01/2020,"€ 21.500,-",Gris
Model 3,10.000 km,01/2023,"€ 35.995,-",Gris
Model s,114.000 km,01/2018,"€ 31.000,-",Negro
Model x,110.000 km,01/2019,"€ 38.999,-",Blanco
Model x,99.000 km,05/2017,"€ 33.990,-",Gris
Model 3,88.000 km,01/2021,"€ 24.900,-",Blanco
Model s,124.000 km,12/2018,"€ 36.000,-",Negro
Model 3,26.000 km,09/2020,"€ 29.850,-",Blanco
Model 3,77.000 km,05/2020,"€ 26.850,-",Blanco
Model y,41.000 km,03/2022,"€ 38.900,-",Blanco
Model y,17.000 km,05/2023,"€ 35.990,-",Negro
Model x,89.179 km,06/2018,"€ 38.870,-",GRIS
Model 3,87.523 km,12/2021,"€ 25.990,-",Blanco
Model s,186.000 km,03/2015,"€ 22.555,-",Blanco
Model 3,87.000 km,01/2019,"€ 22.490,-",Rojo
Model x,32.545 km,09/2023,"€ 82.455,-",Blanco
Model s,186.000 km,03/2015,"€ 22.555,-",Blanco
Model 3,87.000 km,01/2019,"€ 22.490,-",Rojo
Model x,32.545 km,09/2023,"€ 82.455,-",Blanco
Model s,139.000 km,11/2015,"€ 25.990,-",Gris
Model 3,93.000 km,01/2021,"€ 25.850,-",Azul
Model s,32.000 km,07/2014,"€ 32.000,-",Marrón
Model y,10.778 km,03/2024,"€ 36.500,-",Negro
Model y,11.421 km,03/2024,"€ 37.264,-",Blanco
Model 3,49.990 km,09/2020,"€ 23.490,-",Rojo
Model 3,57.000 km,09/2021,"€ 28.990,-",Blanco
Model s,199.000 km,04/2015,"€ 26.999,-",Gris
Model 3,44.983 km,03/2021,"€ 28.990,-",Granate
