,modelo,km,color,precio,year
0,Model 3,63000.0,azul,25990.0,2022
1,Model S,94000.0,negro,51990.0,2020
2,Model 3,138000.0,gris,26990.0,2020
3,Model X,170000.0,blanco,44800.0,2019
4,Model 3,61046.0,rojo,29900.0,2019
5,Model 3,104900.0,negro,24900.0,2019
6,Model S,143350.0,negro,38990.0,2018
7,Model S,143350.0,negro,38990.0,2018
8,Model S,49000.0,negro,45900.0,2019
9,Model 3,69855.0,rojo,31999.0,2019
10,Model X,60000.0,blanco,64900.0,2018
11,Model 3,47479.0,azul,28490.0,2020
12,Model 3,47479.0,azul,28490.0,2020
13,Model 3,89000.0,negro,29990.0,2020
14,Model Y,17000.0,negro,39990.0,2023
15,Model 3,47479.0,azul,28490.0,2020
16,Model Y,30000.0,negro,44999.0,2022
17,Model 3,126000.0,blanco,23990.0,2021
18,Model 3,124645.0,negro,31800.0,2020
19,Model S,15000.0,gris,79900.0,2022
20,Model S,114114.0,gris,39890.0,2019
21,Model 3,55000.0,negro,36900.0,2021
22,Model S,89831.0,azul,38890.0,2019
23,Model 3,58431.0,gris,37490.0,2021
24,Model S,76800.0,rojo,55900.0,2020
25,Model Y,46686.0,blanco,39900.0,2023
26,Model 3,124839.0,azul,25940.0,2019
27,Model S,97000.0,gris,36490.0,2017
28,Model S,56000.0,blanco,59900.0,2017
29,Model Y,12000.0,negro,41900.0,2023
30,Model S,109900.0,azul,42900.0,2020
31,Model S,385000.0,negro,10500.0,2013
32,Model S,96000.0,azul,48900.0,2019
33,Model X,58000.0,gris,54900.0,2021
34,Model 3,59990.0,gris,36900.0,2021
35,Model Y,48000.0,blanco,37850.0,2021
36,Model 3,75000.0,negro,23500.0,2019
37,Model X,93000.0,rojo,54900.0,2020
38,Model S,140000.0,gris,25990.0,2014
39,Model X,18000.0,blanco,79990.0,2021
40,Model Y,36413.0,negro,35250.0,2022
41,Model S,134000.0,gris,26900.0,2018
42,Model 3,21318.0,azul,29700.0,2020
43,Model S,52000.0,blanco,60900.0,2020
44,Model S,125000.0,gris,43500.0,2017
45,Model 3,49000.0,azul,31500.0,2021
46,Model S,85000.0,azul,34500.0,2018
47,Model X,175268.0,gris,28995.0,2018
48,Model 3,65500.0,negro,30950.0,2022
49,Model 3,29458.0,gris,41500.0,2022
50,Model 3,46500.0,gris,36500.0,2021
51,Model S,78590.0,negro,48600.0,2016
52,Model 3,136000.0,negro,21390.0,2019
53,Model 3,44580.0,negro,35500.0,2022
54,Model 3,8900.0,blanco,39900.0,2022
55,Model 3,49990.0,gris,32300.0,2022
56,Model 3,39900.0,blanco,37500.0,2021
57,Model X,119990.0,rojo,59999.0,2017
58,Model S,59999.0,negro,51900.0,2020
59,Model 3,60000.0,rojo,29990.0,2020
60,Model X,85000.0,blanco,54990.0,2019
61,Model X,133500.0,negro,49900.0,2016
62,Model S,16000.0,blanco,89900.0,2023
63,Model 3,77000.0,blanco,33900.0,2020
64,Model X,102000.0,gris,38900.0,2016
65,Model 3,37900.0,gris,40900.0,2021
66,Model S,121000.0,rojo,22900.0,2017
67,Model 3,43063.0,azul,27990.0,2020
68,Model X,88024.0,blanco,43990.0,2016
69,Model X,165000.0,negro,42900.0,2018
70,Model 3,33900.0,blanco,39990.0,2023
71,Model 3,146765.0,negro,24995.0,2019
72,Model S,114000.0,gris,39900.0,2019
73,Model 3,180000.0,blanco,24990.0,2019
74,Model Y,45000.0,blanco,55900.0,2023
75,Model X,240000.0,azul,34900.0,2017
76,Model Y,10000.0,negro,59900.0,2022
77,Model S,15000.0,gris,79900.0,2022
78,Model 3,20000.0,negro,49900.0,2022
79,Model X,130000.0,gris,37500.0,2017
